signal_id,symbol,signal_dir,adx_14,rsi_14,macd,atr_14,h1_adx,h1_trend_strength,plus_di,minus_di,er,bbw,bbw_pct,hurst,mm,ema20_dist_atr,body_ratio,pullback_depth,atr_pct,spread_num,spread_atr,donchian_q,dev_z_ema20,dev_z_ema60,dev_z_ema200,macd_slope3,body_wick_ratio,extreme_reversal,di_ratio,di_net,spread_atr_log,close_mom_atr,trend_aligned,session_asia,session_eu,session_us,event_proximity_min,macro_risk_score,sentiment_risk_score,ds_fake_prob,ds_sl_coeff,ds_continuity,r_dist_atr,sl_mult_used,entry_atr_ratio
388639927,XAUUSD,BUY,15.31,55.56,3.9725,6.55,26.36,0.712,26.06358793988853,22.051323235751394,0.04428697962798951,0.006012254063045758,41.66666666666667,0.7125650482580158,0.04868519305670707,0.334869119998646,0.15611814345987676,2.1178129251833586,35.0,20.0,3.0450221785526685,0.7811540326491032,0.40125513229050475,0.8324401682936359,1.5951618528876872,0.0933724782159441,0.16122004357293207,0.0,1.1819511454841396,0.08338921391959862,1.397487033450348,0.5922568137285439,1.0,1,0,0,16364.9892676,15.0,8.0,0.72,1.15,68,2.0,2.0,7.287099235528914
388639929,XAUUSD,BUY,14.77,56.22,3.7494,6.25,26.36,0.712,25.051384206181392,22.376902695427255,0.04655674102813004,0.005890253356230592,42.5,0.6956064675251558,-0.37461058099125627,0.12254595642403132,0.3942028985506505,2.4033250786376907,35.833333333333336,20.0,3.1519017424756597,0.7751737514142577,0.3150933909942234,0.7832735109896453,1.557119945219769,-0.20122071483828718,5.4054054054069995,0.0,1.11951968633179,0.05639000750569844,1.4235664804765462,-0.16074698886632746,1.0,1,0,0,16359.88944055,15.0,8.0,0.72,1.15,68,2.0,2.0,7.788879998753988
388639937,XAUUSD,BUY,13.26,49.33,1.5492,6.1,27.39,0.746,19.367704071718,26.445314764185575,0.15513126491648746,0.00393649493669232,66.66666666666666,0.6214670800161557,-0.598590638854882,0.21690225744601205,0.8078902229845789,2.517207614773381,39.166666666666664,20.0,3.277614081736049,0.6310004848876682,-1.183421157886778,0.14573272493520192,1.02733364089913,-0.763034885226791,0.20000000000009172,0.0,0.7323680399364842,-0.15448906703418985,1.4533953966181765,-0.7522124317584471,0.0,1,0,0,16338.987524,15.0,8.0,0.61999999999999999555910790149937383830547332763671875,1.1999999999999999555910790149937383830547332763671875,55,2.0,2.0,6.9263114742745415
388639942,XAUUSD,BUY,12.08,53.53,1.2169,5.76,27.39,0.746,20.70637023868838,22.416947433320168,0.28257456828884164,0.0029840531690639993,82.5,0.6544243884758137,0.12429619182839897,0.1283543297551991,0.6099290780142301,1.6847242766935606,44.166666666666664,20.0,3.4700808994717907,0.6971068369161174,-0.400720277191623,0.38863800476107097,1.2003410903748908,-0.4805289572080993,0.25000000000029915,0.0,0.9236926381964988,-0.03966710465032295,1.4974065067775417,-0.20126469216933862,1.0,1,0,0,16324.821814366667,15.0,8.0,0.7199999999999999733546474089962430298328399658203125,1.1999999999999999555910790149937383830547332763671875,65,2.0,2.0,7.996614581945278
388639963,XAUUSD,BUY,12.97,64.19,1.1237,5.75,29.75,0.825,28.06878297609484,14.385729137983489,0.20638375045337223,0.003526284673568014,70.83333333333334,0.6149243195241474,0.9895138936911562,1.5627091842402254,0.48231132075475897,0.4580194214342149,42.5,20.0,3.392736455068487,0.7602471678681713,1.8249121149246237,0.9775125508068848,1.3373394718001639,1.8883544670801427,0.5707434052761382,0.0,1.9511545612817514,0.3222991581918277,1.47995237117686,2.6955291135518142,1.0,1,0,0,16224.68866575,15.0,8.0,0.61999999999999999555910790149937383830547332763671875,1.149999999999999911182158029987476766109466552734375,58,1.4,1.4,9.248782607087394
388639965,XAUUSD,BUY,14.6,61.37,1.5981,5.65,29.83,0.828,27.16637878591795,13.442049583046288,0.5207303157093973,0.00430595220466337,51.66666666666667,0.6276029639590261,0.9814376322818092,1.9416909841215835,0.6226765799257056,0.018777212116325548,44.166666666666664,20.0,3.4140385666148068,0.8436663233779584,2.2526115232248993,1.350836048746842,1.5352893792305984,2.9960660304801863,1.0733496332516532,0.0,2.020999595119914,0.3379674963090481,1.4847900451354785,3.2040751947680706,1.0,1,0,0,16219.554264483333,15.0,8.0,0.7199999999999999733546474089962430298328399658203125,1.1999999999999999555910790149937383830547332763671875,68,1.4,1.4,9.146991148823771
388639967,XAUUSD,BUY,16.91,70.3,2.893,5.96,30.13,0.838,33.39297706341127,12.17435608636809,0.7349746560462956,0.005308168299744448,40.0,0.6431051183542448,0.9947844408386517,2.311519772069217,0.5018915510718055,0.5877306276102273,40.833333333333336,20.0,3.329918570028999,0.9128733264675686,2.2774021071700936,1.643072656081549,1.6996125950791794,3.259099640144587,0.6059701492535895,0.0,2.7428944975502785,0.46565420981832706,1.4655487358396417,2.9319933009104786,1.0,1,0,0,16214.98877865,15.0,8.0,0.7199999999999999733546474089962430298328399658203125,1.1999999999999999555910790149937383830547332763671875,78,1.4,1.4,10.028607380867927
388639969,XAUUSD,BUY,18.9,62.39,3.2918,6.08,30.15,0.838,29.012168620506568,16.630397010766462,0.5737274220032959,0.0055697390123338976,39.166666666666664,0.6660956762156082,0.8944686175531519,1.0674196182009679,0.5343511450381438,1.5328810427295905,35.833333333333336,20.0,3.1156118754666013,0.9318795831725084,2.254367102219541,1.9731816972568448,1.9088178571369618,2.859653626514086,0.9924623115580806,0.0,1.744526414925499,0.27127684798638074,1.414787516991738,1.7883612165179028,1.0,1,0,0,16209.938664866668,15.0,8.0,0.7199999999999999733546474089962430298328399658203125,1.1999999999999999555910790149937383830547332763671875,78,2.0,2.0,9.182648024805639
388639973,XAUUSD,BUY,16.71,56.19,2.7677,6.61,30.15,0.838,25.75564264752103,18.904015790694356,0.3783603643634749,0.005741177049648152,39.166666666666664,0.6918092048247956,0.2315222815331602,0.9891571772686836,0.799407114624439,1.3444498457873664,34.166666666666664,20.0,2.910064601271138,0.6653801620995766,-0.09204178138507381,0.5607452333903088,1.1647041736200054,0.6037284233798772,0.23107569721113422,0.0,1.3624428571286202,0.1534186991798625,1.3635538959250162,0.8250033144603782,1.0,1,0,0,16199.886473583332,15.0,8.0,0.7199999999999999733546474089962430298328399658203125,1.149999999999999911182158029987476766109466552734375,68,2.0,2.0,7.939561269600896
388639975,XAUUSD,BUY,17.11,60.75,3.366,6.62,30.15,0.838,26.199534794966265,18.209038405032313,0.3087944664031654,0.005954991728268002,38.333333333333336,0.7109494225738223,-0.1703468484932575,1.010297945299424,0.1730205278592876,1.304079298487998,35.833333333333336,20.0,3.0187020798332145,0.8205128205128087,1.0203142616540821,1.5197708263599499,1.5929130525142334,0.008807896189808494,0.2509270704574594,0.0,1.4388202591140349,0.17993138788802204,1.3909589847854433,0.33507593086152526,1.0,1,0,0,16194.73842095,15.0,8.0,0.7199999999999999733546474089962430298328399658203125,1.25,78,2.0,2.0,8.73874622224511
