signal_id,symbol,signal_dir,adx_14,rsi_14,macd,atr_14,h1_adx,h1_trend_strength,plus_di,minus_di,er,bbw,bbw_pct,hurst,mm,ema20_dist_atr,body_ratio,pullback_depth,atr_pct,spread_num,spread_atr,donchian_q,dev_z_ema20,dev_z_ema60,dev_z_ema200,macd_slope3,body_wick_ratio,extreme_reversal,di_ratio,di_net,spread_atr_log,close_mom_atr,trend_aligned,session_asia,session_eu,session_us,event_proximity_min,macro_risk_score,sentiment_risk_score,ds_fake_prob,ds_sl_coeff,ds_continuity
1515903,XAUUSD,BUY,31.043956820450365,52.30588602353829,-0.9438479799093362,50.18694262951142,31.055682485888184,0.31055682485888186,1.224713130707793,0.6444507138880039,0.4516889238020579,0.002115688348809752,92.5,0.7265198382367154,-0.003984896037643213,0.004542674356164562,0.007964844822849898,1.1178206334292813,95.83333333333334,20.0,0.39851002974306315,0.39822485207100844,0.01640513825115173,0.7614612106591991,0.3290196144287509,-0.979167823896009,70.37254901957837,0.0,1.9003954901741944,0.31043940211986476,0.33540740542040487,-0.05718618926812739,0.0,0,1,0,1988.9900564166667,12.0,6.0,0.61999999999999999555910790149937383830547332763671875,1.149999999999999911182158029987476766109466552734375,55
1515905,XAUUSD,BUY,37.31502895916482,47.47200168330655,-1.0002061194181469,49.08716101311775,31.502778662550803,0.315027786625508,1.340239746373409,0.6118258891688939,0.4931009440813505,0.0021293640361740853,91.66666666666666,0.7243057181808468,-0.004685260875187164,0.03737925900182995,0.051739005461344745,1.1795345015884457,96.66666666666667,20.0,0.4074385152291721,0.39536489151874055,-0.0990228322322796,0.7149944392368145,0.30906213601737476,-0.5616816723074906,124.55172413794628,0.0,2.190553847991205,0.37315009843511554,0.34177139640378135,-0.040743851522917214,0.0,0,1,0,1984.9906870833333,12.0,6.0,0.61999999999999999555910790149937383830547332763671875,1.149999999999999911182158029987476766109466552734375,55
1516542,XAUUSD,BUY,47.70201162762329,63.31870059284527,0.9514587184249805,3.9442301293251965,24.106580981753567,0.24106580981753567,33.01529573992235,11.689979937917933,0.20308250226653068,0.004447340315018162,32.5,0.7097136996875412,0.9900286505022882,1.5338073782718504,0.6666666666667778,0.9811800714229609,59.166666666666664,17.0,4.310093337000208,0.9136661211129417,1.7945061016643744,2.875308711991349,2.3376588862220484,1.819232846732318,1.3937499999994103,0.0,2.8242386292378856,0.4770201056059015,1.6696094126888565,2.5378843707866485,1.0,1,0,0,26204.6064094,15.0,8.0,0.7199999999999999733546474089962430298328399658203125,1.1999999999999999555910790149937383830547332763671875,68
1516544,XAUUSD,BUY,27.222243301732558,56.449361563822684,0.6268613272776689,3.9989279772305424,24.329128290323496,0.24329128290323496,30.237729140994418,17.297557702328568,0.10860484544692973,0.004449810279309287,32.5,0.7156017148580498,-0.18293584477231356,0.6221202580235227,0.711252653927885,1.7929805289880856,57.49999999999999,17.0,4.251139329539351,0.8416530278232425,1.2365501735770963,2.283720299991114,2.1181891669885617,1.2088802617592849,0.49999999999975014,0.0,1.7480922979566975,0.27222242729058144,1.6584450682095033,1.7804771780188067,1.0,1,0,0,26199.48939601667,15.0,8.0,0.61999999999999999555910790149937383830547332763671875,1.149999999999999911182158029987476766109466552734375,58
1516588,XAUUSD,BUY,42.848378982828194,59.02460239022414,0.573414455019834,3.848578387940218,31.809400191124325,0.31809400191124326,29.508311431848334,11.80585907812368,0.33263157894738504,0.002848627122953842,40.833333333333336,0.6676645076569323,0.828545019741288,1.2478071599825113,0.8964346349745784,0.592426545641965,60.0,20.0,5.19672408457922,0.328028747433289,0.009562031398084165,0.14718580846333632,0.7398074951826588,0.36119214164839053,1.0616438356178208,0.0,2.4994630832977083,0.42848377945693056,1.8240207789576377,1.5434270531201606,1.0,0,1,0,25989.7250481,15.0,15.0,0.61999999999999999555910790149937383830547332763671875,1.1999999999999999555910790149937383830547332763671875,55
1516593,XAUUSD,BUY,40.91285920672965,56.91182330580111,0.6272225535517013,3.5214565299943716,33.831324135293485,0.33831324135293483,26.74766755247467,11.215748565899382,0.3651791326210007,0.003097812003559567,35.0,0.7012617886105367,0.7025948344666713,0.8044270702812181,0.529680365296834,0.8632791500069497,85.83333333333333,20.0,5.679468092151053,0.6216632443531799,1.2838203528431633,1.4430193581615152,1.2301671700756924,0.9452454438229322,4.18367346938999,0.0,2.384831026701852,0.4091285812903796,1.8990383574546674,0.19594164917909768,1.0,0,1,0,25974.9904525,15.0,15.0,0.419999999999999984456877655247808434069156646728515625,1.149999999999999911182158029987476766109466552734375,55
1516595,XAUUSD,BUY,17.179312661741523,50.16930799906013,0.32589534752074567,3.555638206423345,32.64189474432549,0.3264189474432549,24.59835137191595,17.385768202028594,0.1065440778799449,0.0029102500899406266,38.333333333333336,0.7024002668726852,0.35271284141799275,0.09599315834406467,0.7975000000001273,1.7577716396199214,83.33333333333334,20.0,5.6248692467837484,0.5600616016427156,0.8314854395116458,1.1069263981953898,1.1082024908972166,0.6136228949851079,0.8879310344826504,0.0,1.414855511198537,0.17179312252555567,1.8908306353429933,-0.03937408472757832,0.0,0,1,0,25969.9902882,15.0,15.0,0.419999999999999984456877655247808434069156646728515625,1.149999999999999911182158029987476766109466552734375,51
1516609,XAUUSD,SELL,27.458191108822675,38.82393428090308,-1.6515219050213332,4.768448190715805,28.510625177270725,0.28510625177270726,16.499751494529285,28.990571249644844,0.30912364945978366,0.0074536310233106915,0.8333333333333334,0.7181788700953816,-0.3120751465862988,1.2982338290388231,0.8589385474860002,4.328452187062978,1.6666666666666667,20.0,4.194236615371036,0.024919093851146375,-1.6240070609586397,-3.079360060975507,-1.2245198508907007,-1.2747552337171637,9.451612903245207,0.0,0.5691419732058383,-0.27458190505217583,1.6475496677229655,-1.7993275079941593,0.0,0,1,0,25899.987800266666,15.0,15.0,0.61999999999999999555910790149937383830547332763671875,1.149999999999999911182158029987476766109466552734375,58
1516611,XAUUSD,SELL,21.306686700919116,40.01218047361662,-1.2093124546989031,4.635701891379017,27.996058143245612,0.2799605814324561,17.963325872208447,27.69068237608386,0.23821417421168187,0.007567394800519657,0.8333333333333334,0.7263707477440963,-0.692877315987298,1.0735586413752807,0.2405498281785685,4.3035554199681405,5.0,20.0,4.314341273150861,0.2412112774103786,-0.7561746029882519,-1.8616192286340663,-0.6253392225634639,-0.7267912817285175,0.16422764227646797,0.0,0.6487137073591753,-0.2130668623421998,1.6704090667943003,-0.18335950410899005,0.0,0,1,0,25894.937760133336,15.0,15.0,0.61999999999999999555910790149937383830547332763671875,1.1999999999999999555910790149937383830547332763671875,55
1516613,XAUUSD,SELL,13.086123942912005,39.89124934155947,-0.8464859480364111,4.773866041994846,26.931062843221785,0.26931062843221787,19.189958966081388,24.968603133891623,0.295417614559654,0.0073570162420900686,2.5,0.7345345001692304,0.6137164235725145,0.9621557775259895,0.01522070015212251,4.199950275861099,0.8333333333333334,20.0,4.18947658440006,0.2672746404770197,-0.5988537265923858,-1.6635040565922166,-0.5557621551930906,-0.2167221869207126,3.1571428571450286,0.0,0.7685635473724188,-0.13086123646568035,1.6466328413020452,-0.8504637466331055,0.0,0,1,0,25889.820280683332,15.0,15.0,0.61999999999999999555910790149937383830547332763671875,1.1999999999999999555910790149937383830547332763671875,55
