position_id,account_id,order_id,client_id,mt5_ticket,symbol,direction,open_price,current_price,lot,sl,tp,float_profit,trail_state,open_time,snapshot_time,updated_at,status
335,1,,,353380140,XAUUSD,SELL,4026.51000,4025.49000,0.01,4026.37000,4013.91000,1.02,"{""sl_history"": [{""sl"": 4033.71, ""tier"": ""tier1"", ""time"": ""2026-07-14T07:39:15Z"", ""reason"": ""breakeven""}, {""sl"": 4026.51, ""tier"": ""tier1"", ""time"": ""2026-07-14T07:41:11Z"", ""reason"": ""breakeven""}, {""sl"": 4026.37, ""tier"": ""tier2"", ""time"": ""2026-07-14T07:41:32Z"", ""reason"": ""lock_profit""}], ""current_tier"": ""tier2"", ""last_sl_move_time"": ""2026-07-14T07:41:32Z""}",2026-07-14 10:39:53+00,2026-07-14 07:41:32.585633+00,2026-07-14 08:01:07.52551+00,closed
337,1,,,353380145,XAUUSD,SELL,4026.53000,4025.49000,0.01,4026.53000,4013.91000,1.04,"{""sl_history"": [{""sl"": 4033.71, ""tier"": ""tier1"", ""time"": ""2026-07-14T07:39:15Z"", ""reason"": ""breakeven""}, {""sl"": 4026.53, ""tier"": ""tier1"", ""time"": ""2026-07-14T07:41:11Z"", ""reason"": ""breakeven""}], ""current_tier"": ""tier1"", ""last_sl_move_time"": ""2026-07-14T07:41:32Z""}",2026-07-14 10:39:53+00,2026-07-14 07:41:32.592781+00,2026-07-14 08:01:07.52551+00,closed
356,1,,,353380214,XAUUSD,SELL,4026.50000,4025.49000,0.01,4026.50000,4013.86000,1.01,"{""sl_history"": [{""sl"": 4033.66, ""tier"": ""tier1"", ""time"": ""2026-07-14T07:39:19Z"", ""reason"": ""breakeven""}, {""sl"": 4026.5, ""tier"": ""tier1"", ""time"": ""2026-07-14T07:41:11Z"", ""reason"": ""breakeven""}], ""current_tier"": ""tier1"", ""last_sl_move_time"": ""2026-07-14T07:41:32Z""}",2026-07-14 10:40:00+00,2026-07-14 07:41:32.629551+00,2026-07-14 08:01:07.52551+00,closed
342,1,,,353380168,XAUUSD,SELL,4026.45000,4025.49000,0.01,4026.45000,4013.86000,0.96,"{""sl_history"": [{""sl"": 4033.66, ""tier"": ""tier1"", ""time"": ""2026-07-14T07:39:15Z"", ""reason"": ""breakeven""}, {""sl"": 4026.45, ""tier"": ""tier1"", ""time"": ""2026-07-14T07:41:11Z"", ""reason"": ""breakeven""}], ""current_tier"": ""tier1"", ""last_sl_move_time"": ""2026-07-14T07:41:32Z""}",2026-07-14 10:39:54+00,2026-07-14 07:41:32.61208+00,2026-07-14 08:01:07.52551+00,closed
353,1,,,353380196,XAUUSD,SELL,4026.47000,4025.49000,0.01,4026.47000,4013.86000,0.98,"{""sl_history"": [{""sl"": 4033.66, ""tier"": ""tier1"", ""time"": ""2026-07-14T07:39:19Z"", ""reason"": ""breakeven""}, {""sl"": 4026.47, ""tier"": ""tier1"", ""time"": ""2026-07-14T07:41:11Z"", ""reason"": ""breakeven""}], ""current_tier"": ""tier1"", ""last_sl_move_time"": ""2026-07-14T07:41:32Z""}",2026-07-14 10:39:59+00,2026-07-14 07:41:32.615948+00,2026-07-14 08:01:07.52551+00,closed
354,1,,,353380197,XAUUSD,SELL,4026.46000,4025.49000,0.01,4026.46000,4013.87000,0.97,"{""sl_history"": [{""sl"": 4033.67, ""tier"": ""tier1"", ""time"": ""2026-07-14T07:39:19Z"", ""reason"": ""breakeven""}, {""sl"": 4026.46, ""tier"": ""tier1"", ""time"": ""2026-07-14T07:41:11Z"", ""reason"": ""breakeven""}], ""current_tier"": ""tier1"", ""last_sl_move_time"": ""2026-07-14T07:41:32Z""}",2026-07-14 10:39:59+00,2026-07-14 07:41:32.620858+00,2026-07-14 08:01:07.52551+00,closed
355,1,,,353380198,XAUUSD,SELL,4026.46000,4025.49000,0.01,4026.46000,4013.86000,0.97,"{""sl_history"": [{""sl"": 4033.66, ""tier"": ""tier1"", ""time"": ""2026-07-14T07:39:19Z"", ""reason"": ""breakeven""}, {""sl"": 4026.46, ""tier"": ""tier1"", ""time"": ""2026-07-14T07:41:11Z"", ""reason"": ""breakeven""}], ""current_tier"": ""tier1"", ""last_sl_move_time"": ""2026-07-14T07:41:32Z""}",2026-07-14 10:40:00+00,2026-07-14 07:41:32.625488+00,2026-07-14 08:01:07.52551+00,closed
340,1,,,353380163,XAUUSD,SELL,4026.48000,4025.49000,0.01,4026.48000,4013.90000,0.99,"{""sl_history"": [{""sl"": 4033.7, ""tier"": ""tier1"", ""time"": ""2026-07-14T07:39:15Z"", ""reason"": ""breakeven""}, {""sl"": 4026.48, ""tier"": ""tier1"", ""time"": ""2026-07-14T07:41:11Z"", ""reason"": ""breakeven""}], ""current_tier"": ""tier1"", ""last_sl_move_time"": ""2026-07-14T07:41:32Z""}",2026-07-14 10:39:54+00,2026-07-14 07:41:32.604383+00,2026-07-14 08:01:07.52551+00,closed
341,1,,,353380166,XAUUSD,SELL,4026.46000,4025.49000,0.01,4026.46000,4013.88000,0.97,"{""sl_history"": [{""sl"": 4033.68, ""tier"": ""tier1"", ""time"": ""2026-07-14T07:39:15Z"", ""reason"": ""breakeven""}, {""sl"": 4026.46, ""tier"": ""tier1"", ""time"": ""2026-07-14T07:41:11Z"", ""reason"": ""breakeven""}], ""current_tier"": ""tier1"", ""last_sl_move_time"": ""2026-07-14T07:41:32Z""}",2026-07-14 10:39:54+00,2026-07-14 07:41:32.608314+00,2026-07-14 08:01:07.52551+00,closed
357,1,,,353380254,XAUUSD,SELL,4026.53000,4025.49000,0.01,4026.53000,4013.90000,1.04,"{""sl_history"": [{""sl"": 4033.7, ""tier"": ""tier1"", ""time"": ""2026-07-14T07:39:19Z"", ""reason"": ""breakeven""}, {""sl"": 4026.53, ""tier"": ""tier1"", ""time"": ""2026-07-14T07:41:11Z"", ""reason"": ""breakeven""}], ""current_tier"": ""tier1"", ""last_sl_move_time"": ""2026-07-14T07:41:32Z""}",2026-07-14 10:40:00+00,2026-07-14 07:41:32.633649+00,2026-07-14 08:01:07.52551+00,closed
358,1,,,353380262,XAUUSD,SELL,4026.56000,4025.49000,0.01,4026.56000,4013.93000,1.07,"{""sl_history"": [{""sl"": 4033.73, ""tier"": ""tier1"", ""time"": ""2026-07-14T07:39:19Z"", ""reason"": ""breakeven""}, {""sl"": 4026.56, ""tier"": ""tier1"", ""time"": ""2026-07-14T07:41:11Z"", ""reason"": ""breakeven""}], ""current_tier"": ""tier1"", ""last_sl_move_time"": ""2026-07-14T07:41:32Z""}",2026-07-14 10:40:00+00,2026-07-14 07:41:32.637863+00,2026-07-14 08:01:07.52551+00,closed
